X,Y,id,@id,building,layer,name,addr:housename,heritage,heritage:operator,historic,ref:nrhp,tourism,wikidata,addr:housenumber,addr:street,alt_name,office,old_name,addr:city,addr:postcode,addr:state,amenity,cuisine,takeaway,delivery,opening_hours,outdoor_seating,smoking,website,man_made,building:levels,operator,addr:country,parking,source,addr:unit,entrance,access,female,male
-75.1716976366458,39.8924515864652,way/707835654,way/707835654,yes,,Building 640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1741195935618,39.8878548668514,way/707835657,way/707835657,yes,,Building B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1752497338899,39.8902949997385,way/707835658,way/707835658,yes,,Building 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1739786183854,39.8880469005779,way/707835659,way/707835659,yes,,Building 122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1712862845845,39.8925962995976,way/707835661,way/707835661,yes,,Building 651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1715576428322,39.8874374998527,way/707835662,way/707835662,yes,,Building N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1729323904579,39.8877340497991,way/707835663,way/707835663,yes,,Building K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1756515035599,39.890687000026,way/707835664,way/707835664,yes,,Building 679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1710593694955,39.8874686505028,way/707835666,way/707835666,yes,,Building O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1705542883114,39.887520740882,way/707835674,way/707835674,yes,,Building P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1752582647749,39.888201994691,way/707835678,way/707835678,yes,,Building 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.173665,39.8930273,way/707835679,way/707835679,yes,,Building 796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1720110679841,39.8875301503788,way/707835681,way/707835681,yes,,Building M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1756628770953,39.8943368268961,way/707835685,way/707835685,yes,,Building M-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1704259735157,39.888847600277,way/707835686,way/707835686,yes,,Building 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1922022179808,39.8938367009197,way/814033326,way/814033326,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1743434520961,39.8951289000808,way/814037165,way/814037165,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.183001,39.887947926168,node/1488543935,node/1488543935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
-75.171133,39.894261426168,node/3703125044,node/3703125044,,,,,,,,,,,,,,,,,,,toilets,,,,,,,,,,,,,,,yes,yes,no,yes
-75.1713951,39.894235926168,node/3703174520,node/3703174520,,,,,,,,,,,,,,,,,,,toilets,,,,,,,,,,,,,,,yes,yes,yes,no
-75.1722837,39.893816326168,node/4224480700,node/4224480700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
-75.1727175,39.893907226168,node/4224518489,node/4224518489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
-75.1730353,39.896458726168,node/5478268941,node/5478268941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
