origin,dest,count,connection
4,5,1161.438445,weak
4,5,498.983999,strong
4,5,835.336156,weak
4,5,487.8205137,strong
4,5,1242.641515,weak
4,5,756.3886625,strong
4,5,570.4505651,strong
4,5,1246.81681,weak
4,5,687.7350015,strong
4,5,500.6178839,strong
4,5,929.4328271,weak
4,5,1143.697037,weak
4,5,864.2274293,weak
4,5,1132.025394,weak
4,5,952.3911404,weak
4,5,1307.889652,weak
4,5,1210.827814,weak
4,5,808.8456657,weak
4,5,1332.280565,weak
4,5,1356.231165,weak
4,5,1061.793699,weak
4,5,752.2980963,strong
4,5,1275.854631,weak
4,5,531.2046651,strong
4,5,1258.084187,weak
5,6,70.73930367,strong
5,6,343.4226758,strong
5,6,650.8354911,strong
5,6,1083.906136,weak
5,6,888.1396892,weak
5,6,898.3684197,weak
5,6,819.2407369,weak
5,6,902.136718,weak
5,6,1050.388286,weak
5,6,1053.459376,weak
5,6,1171.299168,weak
5,6,1198.415371,weak
5,6,1074.24336,weak
5,6,736.6666455,strong
5,6,1291.93184,weak
5,6,1147.42194,weak
5,6,1060.495738,weak
5,6,804.2063507,weak
5,6,762.0886106,strong
5,6,737.1825684,strong
5,6,988.4206075,weak
5,6,957.2007749,weak
5,6,845.1498275,weak
5,6,913.4711975,weak
5,6,966.9023851,weak
5,6,1031.1278,weak
5,6,975.4812821,weak
5,6,1007.058193,weak
5,6,936.8671692,weak
5,6,1292.118538,weak
5,6,1397.400122,weak
5,6,1120.690669,weak
5,6,1037.050872,weak
5,6,773.5158805,strong
5,6,1145.897756,weak
5,6,1029.886729,weak
5,6,836.6103737,weak
5,6,1016.761157,weak
5,6,1051.373156,weak
5,6,801.9387839,weak
5,6,978.8517677,weak
5,6,534.55046,strong
5,6,971.333013,weak
5,6,399.7976726,strong
5,6,588.1543537,strong
5,6,1273.792445,weak
5,6,860.8903978,weak
5,6,536.472165,strong
5,6,673.0424159,strong
5,6,472.247359,strong
5,6,580.1810525,strong
5,6,457.1345268,strong
5,6,842.923653,weak
5,6,705.9494677,strong
5,6,648.2336344,strong
5,6,605.7777567,strong
5,6,865.4754604,weak
5,6,754.6488415,strong
5,6,563.0895365,strong
5,6,1143.442615,weak
5,6,1020.046667,weak
5,6,1011.512503,weak
5,6,493.5220188,strong
5,6,919.914224,weak
